Time start of stage ,Shear induced PWP,Axial strain,Vol strain,Induced PWP,p',q,e,Soil Classification,Soil Properties,Test Classification,Test Properties
895,22.929000000000087,0.0016319809455197743,0,22.929000000000087,134.98711740585168,24.091494476969984,0.8239341592508584,Density,loose,Density,loose
900,22.929000000000087,0.0016466834765604848,0,22.929000000000087,135.13854654270347,24.54578188752532,0.8239341592508584,PSD,clay,PSD,clay
905,22.867999999999938,0.0016466834765604848,0,22.867999999999938,135.19954654270362,24.54578188752532,0.8239341592508584,Density,loose,Density,loose
910,22.99000000000001,0.0016613860076012082,0,22.99000000000001,135.07739781808695,24.54533571367558,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
915,23.113000000000056,0.0016613860076012082,0,23.113000000000056,134.9543978180869,24.54533571367558,0.8239341592508584,Density,dense,Density,dense
920,23.29600000000005,0.0016760885386419189,0,23.29600000000005,134.93292500259557,25.029917267201487,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
925,23.35699999999997,0.0016907910696826423,0,23.35699999999997,134.87177389694315,25.029463950244054,0.8239341592508584,Density,dense,Density,dense
930,23.60200000000009,0.0016907910696826423,0,23.60200000000009,134.62677389694304,25.029463950244054,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
935,23.906999999999925,0.001705493600723366,0,23.906999999999925,134.3216227912907,25.029010633286624,0.8239341592508584,Density,loose,Density,loose
940,23.96900000000005,0.0017201961317640764,0,23.96900000000005,134.25947168563812,25.02855731632919,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
945,23.96900000000005,0.0017201961317640764,0,23.96900000000005,134.25947168563812,25.02855731632919,0.8239341592508584,Density,dense,Density,dense
950,24.212999999999965,0.0017348986628048,0,24.212999999999965,134.01532057998574,25.02810399937175,0.8239341592508584,PSD,sand,PSD,sand
955,24.152000000000044,0.0017348986628048,0,24.152000000000044,134.22788281590593,25.482790707132544,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
960,24.458000000000084,0.0017496011938455236,0,24.458000000000084,133.92172947803223,25.482330693511646,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
965,24.335000000000036,0.0017496011938455236,0,24.335000000000036,134.04472947803228,25.482330693511646,0.8239341592508584,PSD,silt,PSD,silt
